"MAHALLİ İDARELERCE BELGELENDİRİLEN  KONAKLAMA TESİSLERİNDE TESİSLERE GELİŞ, GECELEME, ORTALAMA KALIŞ SÜRESİ VE DOLULUK ORANLARININ İLLERE VE İLÇELERE GÖRE DAĞILIMI (2022)",,,,,,,,,,,,,
İLLER,İLÇELER,TESİSE GELİŞ SAYISI,,,GECELEME,,,ORTALAMA KALIŞ SÜRESİ,,,DOLULUK ORANI(%),,
,,YABANCI,YERLİ,TOPLAM,YABANCI,YERLİ,TOPLAM,YABANCI,YERLİ,TOPLAM,YABANCI,YERLİ,TOPLAM
,Gölcük,39,10989,11028,196,32297,32493,5.0256410256410255,2.939029939029939,2.9464091403699673,0.3691148775894539,60.822975517890775,61.19209039548023
,İzmit,1585,26351,27936,4811,63470,68281,3.0353312302839117,2.408637243368373,2.444193871706758,4.364906550535293,57.58483033932136,61.94973688985665
,Kandıra,121,7146,7267,529,24237,24766,4.371900826446281,3.3916876574307304,3.4080088069354617,0.43787765913417764,20.062080953563445,20.499958612697625
,Karamürsel,1140,12201,13341,3206,29841,33047,2.812280701754386,2.4457831325301207,2.477100667116408,4.207349081364829,39.161417322834644,43.36876640419948
,Kartepe,557,12394,12951,1657,23283,24940,2.974865350089767,1.878570275939971,1.9257200216199521,2.052520748172922,28.840579710144926,30.89310045831785
,Körfez,608,8279,8887,1053,9842,10895,1.731907894736842,1.1887909167773887,1.225948013952965,3.4344422700587085,32.10045662100457,35.53489889106327
,Toplam,19437,146743,166180,65565,302205,367770,3.373205741626794,2.059416803527255,2.21308220002407,7.699217924328894,35.48756429225675,43.18678221658564
Konya,Akşehir,19,15381,15400,74,23039,23113,3.8947368421052633,1.4978870034458098,1.5008441558441559,0.10696733159872795,33.30297773923099,33.40994507082972
,Beyşehir,213,15174,15387,320,25918,26238,1.5023474178403755,1.7080532489785158,1.7052056931175668,0.5376344086021505,43.54502688172043,44.082661290322584
,Cihanbeyli,27,4649,4676,27,4987,5014,1,1.0727038072703807,1.072284003421728,0.1490066225165563,27.52207505518764,27.671081677704194
,Çumra,0,1845,1845,0,3326,3326,0,1.802710027100271,1.802710027100271,0,36.955555555555556,36.955555555555556
,Ereğli,225,32299,32524,479,53852,54331,2.128888888888889,1.6672962011207777,1.6704894846882303,0.38234355044699875,42.985312899106006,43.367656449553
,Hadim,0,3347,3347,0,3347,3347,0,1,1,0,54.689542483660134,54.689542483660134
,Hüyük,2,608,610,5,1362,1367,2.5,2.2401315789473686,2.240983606557377,0.1388888888888889,37.833333333333336,37.97222222222222
,Ilgın,341,23658,23999,706,53858,54564,2.070381231671554,2.2765237974469525,2.27359473311388,0.4985875706214689,38.03531073446328,38.53389830508475
,Karapınar,0,13464,13464,0,17163,17163,0,1.2747326203208555,1.2747326203208555,0,44.28018575851393,44.28018575851393
,Karatay,21356,199640,220996,27492,243282,270774,1.2873197227945308,1.2186034862752955,1.2252438958171188,4.503194103194104,39.84963144963145,44.35282555282555
,Kulu,0,2096,2096,0,14017,14017,0,6.6875,6.6875,0,51.23172514619883,51.23172514619883
,Meram,1047,35346,36393,1422,51280,52702,1.3581661891117478,1.4508006563684717,1.4481356304783888,0.8295414770738537,29.91482907478707,30.744370551860925
,Selçuklu,3729,51445,55174,7798,65177,72975,2.0911772593188522,1.2669258431334436,1.3226338492768333,3.393385552654482,28.36248912097476,31.755874673629243
,Seydişehir,66,11260,11326,140,15294,15434,2.121212121212121,1.358259325044405,1.3627052798869856,0.33573141486810554,36.67625899280576,37.01199040767386
,Akören,9,1534,1543,20,5248,5268,2.2222222222222223,3.4211212516297262,3.4141283214517175,0.06613756613756613,17.354497354497354,17.42063492063492
,Bozkır,33,5477,5510,33,7814,7847,1,1.4266934453167792,1.4241379310344828,0.2217741935483871,52.513440860215056,52.73521505376344
