"MAHALLİ İDARELERCE BELGELENDİRİLEN  KONAKLAMA TESİSLERİNDE TESİSLERE GELİŞ, GECELEME, ORTALAMA KALIŞ SÜRESİ VE DOLULUK ORANLARININ İLLERE VE İLÇELERE GÖRE DAĞILIMI (2022)",,,,,,,,,,,,,
İLLER,İLÇELER,TESİSE GELİŞ SAYISI,,,GECELEME,,,ORTALAMA KALIŞ SÜRESİ,,,DOLULUK ORANI(%),,
,,YABANCI,YERLİ,TOPLAM,YABANCI,YERLİ,TOPLAM,YABANCI,YERLİ,TOPLAM,YABANCI,YERLİ,TOPLAM
Trabzon,Akçaabat,3900,29766,33666,8022,55779,63801,2.056923076923077,1.8739165490828462,1.8951167349848512,6.599210266535044,45.88598223099704,52.48519249753208
,Araklı,429,6484,6913,918,11818,12736,2.13986013986014,1.8226403454657618,1.8423260523651093,2.8073394495412844,36.14067278287462,38.948012232415905
,Arsin,3458,3708,7166,6935,5476,12411,2.0054945054945055,1.47680690399137,1.7319285514931622,23.88085399449036,18.856749311294767,42.73760330578512
,Beşikdüzü,17,1348,1365,25,2092,2117,1.4705882352941178,1.5519287833827893,1.550915750915751,0.3472222222222222,29.055555555555557,29.40277777777778
,Çaykara,13217,14175,27392,29644,31195,60839,2.2428690323068774,2.200705467372134,2.221049941588785,18.271696252465482,19.22768737672584,37.49938362919132
,Maçka,2,360,362,5,965,970,2.5,2.6805555555555554,2.679558011049724,0.023408239700374533,4.5177902621722845,4.5411985018726595
,Of,279,1011,1290,686,2435,3121,2.4587813620071683,2.4085064292779426,2.4193798449612403,6.57088122605364,23.32375478927203,29.89463601532567
,Ortahisar,29170,68384,97554,70781,103693,174474,2.426499828591018,1.5163342302292935,1.7884863767759396,17.682430238077394,25.904469259786655,43.586899497864046
,Sürmene,175,2288,2463,467,5226,5693,2.6685714285714286,2.284090909090909,2.311408850994722,1.6283124128312412,18.221757322175733,19.850069735006972
,Tonya,428,692,1120,793,1285,2078,1.852803738317757,1.856936416184971,1.855357142857143,6.937882764654418,11.242344706911636,18.180227471566056
,Vakfıkebir,360,26388,26748,758,34763,35521,2.1055555555555556,1.3173791117174474,1.3279871392253626,0.7198480531813866,33.01329534662868,33.73314339981007
,Yomra,10031,8445,18476,26315,15379,41694,2.623367560562257,1.8210775606867968,2.256657285126651,41.53251262626262,24.272411616161616,65.80492424242425
,Düzköy,77,967,1044,164,973,1137,2.1298701298701297,1.0062047569803516,1.089080459770115,1.2312312312312312,7.304804804804805,8.536036036036036
,Toplam,61543,164016,225559,145513,271079,416592,2.3644118746242464,1.652759486879329,1.8469314015401734,14.451297024589838,26.921602510626464,41.372899535216305
Tunceli,Merkez,230,4307,4537,280,7539,7819,1.2173913043478262,1.7504063153006733,1.7233854970244655,0.852359208523592,22.949771689497716,23.80213089802131
,Ovacık,0,1092,1092,0,2797,2797,0,2.561355311355311,2.561355311355311,0,15.856009070294785,15.856009070294785
,Pertek,0,3,3,0,3,3,0,1,1,0,0.23809523809523808,0.23809523809523808
,Hozat,0,90,90,0,2610,2610,0,29,29,0,87,87
,Toplam,230,5492,5722,280,12949,13229,1.2173913043478262,2.3577931536780774,2.311953862285914,0.5114155251141552,23.651141552511415,24.16255707762557
Şanlıurfa,Birecik,75,4397,4472,75,13617,13692,1,3.0968842392540368,3.0617173524150267,0.25667351129363447,46.60164271047228,46.85831622176591
,Bozova,0,573,573,0,8321,8321,0,14.521815008726003,14.521815008726003,0,16.27738654147105,16.27738654147105
,Eyyübiye,9032,82648,91680,12028,123536,135564,1.3317094774136404,1.4947246152356983,1.4786649214659686,2.112287726322814,21.694677133273625,23.806964859596437
,Halfeti,34,1744,1778,44,1988,2032,1.2941176470588236,1.139908256880734,1.1428571428571428,0.32448377581120946,14.660766961651918,14.985250737463128
,Haliliye,4848,122573,127421,9372,198555,207927,1.933168316831683,1.6198918195687468,1.6318110829455112,2.0631356491876898,43.70954959714701,45.772685246334696
,Siverek,22,13631,13653,33,31473,31506,1.5,2.308928178416844,2.3076246978686004,0.03968253968253968,37.84632034632035,37.886002886002885
,Viranşehir,599,16088,16687,945,37802,38747,1.5776293823038396,2.3497016409746396,2.321987175645712,0.9386174016686532,37.54668255860151,38.48529996027016
,Akçakale,0,3177,3177,0,10005,10005,0,3.1491973559962227,3.1491973559962227,0,40.670731707317074,40.670731707317074
,Ceylanpınar,0,5711,5711,0,25615,25615,0,4.4852039922955695,4.4852039922955695,0,32.6139546727782,32.6139546727782
,Harran,0,12083,12083,0,13867,13867,0,1.147645452288339,1.147645452288339,0,51.132005899705014,51.132005899705014
,Hilvan,0,1299,1299,0,8313,8313,0,6.399538106235566,6.399538106235566,0,34.1256157635468,34.1256157635468
,Suruç,1,1872,1873,1,4693,4694,1,2.5069444444444446,2.5061398825413774,0.008680555555555556,40.73784722222222,40.74652777777778
,Karaköprü,72,4378,4450,244,7319,7563,3.388888888888889,1.6717679305619004,1.6995505617977529,1.1296296296296295,33.88425925925926,35.013888888888886
,Toplam,14683,270174,284857,22742,485104,507846,1.5488660355513177,1.7955243657790905,1.782810322372278,1.5271594243773376,32.57546149868719,34.10262092306453
Uşak,Banaz,51,1931,1982,91,3339,3430,1.7843137254901962,1.7291558777835319,1.7305751765893038,1.1318407960199004,41.52985074626866,42.66169154228856
,Merkez,865,29061,29926,1403,39706,41109,1.6219653179190752,1.366298475620247,1.3736884314642785,1.2805768528660095,36.241328952172324,37.52190580503834
,Sivaslı,94,94,188,705,640,1345,7.5,6.808510638297872,7.154255319148936,14.6875,13.333333333333334,28.020833333333332
,Eşme,0,1739,1739,0,4445,4445,0,2.556066705002875,2.556066705002875,0,41.157407407407405,41.157407407407405
,Toplam,1010,32825,33835,2199,48130,50329,2.1772277227722774,1.4662604722010664,1.487483375203192,1.6509009009009008,36.133633633633636,37.78453453453454
Van,Edremit,605,2423,3028,1771,6391,8162,2.9272727272727272,2.6376392901361947,2.6955085865257598,11.783100465735195,42.521623419827016,54.30472388556221
,Erciş,618,31846,32464,786,39020,39806,1.2718446601941749,1.2252716196696603,1.2261582060128142,0.7084910762574365,35.17216513430683,35.88065621056427
,İpekyolu,149521,135593,285114,317146,210820,527966,2.1210799820760964,1.5548000265500432,1.8517715720729253,33.65658495171389,22.372917329937387,56.029502281651276
,Merkez,2349,2483,4832,6068,4917,10985,2.5832269050659855,1.9802658074909383,2.2733857615894038,50.56666666666667,40.975,91.54166666666667
,Muradiye,377,1758,2135,679,3868,4547,1.8010610079575597,2.200227531285552,2.1297423887587823,5.493527508090615,31.294498381877023,36.788025889967635
,Tuşba,393,18050,18443,447,18050,18497,1.1374045801526718,1,1.0029279401398905,1.6337719298245614,65.97222222222223,67.60599415204679
,Toplam,153863,192153,346016,326897,283066,609963,2.1245978565347095,1.47312818431146,1.7628173263664109,29.18749274547094,25.27397566049697,54.46146840596791
Yozgat,Boğazlıyan,0,6606,6606,0,16840,16840,0,2.5491976990614593,2.5491976990614593,0,14.806999032796975,14.806999032796975
,Kadışehri,0,1872,1872,0,1872,1872,0,1,1,0,21.894736842105264,21.894736842105264
,Merkez,454,33749,34203,3279,53904,57183,7.222466960352423,1.597202880085336,1.671870888518551,2.2967009876024376,37.755831056944736,40.05253204454717
,Sarıkaya,0,7060,7060,0,15011,15011,0,2.1262039660056655,2.1262039660056655,0,24.1489703989704,24.1489703989704
,Sorgun,4,16184,16188,4,18640,18644,1,1.1517548195748888,1.151717321472696,0.005108556832694764,23.8058748403576,23.810983397190295
,Yerköy,1,11570,11571,1,12625,12626,1,1.0911840968020743,1.0911762164030767,0.001986491855383393,25.079459674215336,25.08144616607072
,Akdağmadeni,209,4820,5029,373,5012,5385,1.784688995215311,1.0398340248962656,1.0707894213561344,1.0199617172545803,13.705222860267979,14.72518457752256
,Aydıncık,0,5419,5419,0,9653,9653,0,1.7813249677062188,1.7813249677062188,0,29.304796599878568,29.304796599878568
,Çayıralan,0,3114,3114,0,3114,3114,0,1,1,0,41.19047619047619,41.19047619047619
,Çekerek,0,766,766,0,4172,4172,0,5.446475195822455,5.446475195822455,0,37.38351254480287,37.38351254480287
,Saraykent,0,2625,2625,0,11678,11678,0,4.448761904761905,4.448761904761905,0,58.62449799196787,58.62449799196787
,Şefaatli,2,4117,4119,8,9851,9859,4,2.39276171969881,2.3935421218742414,0.04728132387706856,58.2210401891253,58.26832151300236
,Yenifakılı,0,509,509,0,661,661,0,1.2986247544204321,1.2986247544204321,0,18.36111111111111,18.36111111111111
,Toplam,670,98411,99081,3665,163033,166698,5.470149253731344,1.656654235806973,1.6824416386592789,0.6270101964004653,27.89177444740984,28.518784643810307
Zonguldak,Alaplı,0,2330,2330,0,2330,2330,0,1,1,0,16.180555555555557,16.180555555555557
,Çaycuma,15,5206,5221,37,14971,15008,2.466666666666667,2.875720322704572,2.8745451063014746,0.07438681141938078,30.098512263771614,30.172899075190994
,Devrek,4,6912,6916,4,15420,15424,1,2.2309027777777777,2.230190861769809,0.009389671361502348,36.19718309859155,36.20657276995305
,Ereğli,458,32982,33440,943,54864,55807,2.058951965065502,1.6634527924322358,1.6688696172248805,0.675114547537228,39.27835051546392,39.95346506300115
,Gökçebey,1573,7591,9164,5021,13047,18068,3.191989828353465,1.7187458832828348,1.9716281099956352,7.152421652421652,18.585470085470085,25.737891737891736
,Kozlu,88,13315,13403,189,19758,19947,2.147727272727273,1.4838903492301916,1.488248899500112,0.27631578947368424,28.885964912280702,29.162280701754387
,Merkez,129,33795,33924,200,68803,69003,1.550387596899225,2.0358928835626573,2.0340466926070038,0.14330753797649756,49.29994267698481,49.44325021496131
,Kilimli,19,3952,3971,34,8897,8931,1.7894736842105263,2.2512651821862346,2.2490556534877864,0.13302034428794993,34.80829420970266,34.94131455399061
,Toplam,2286,106083,108369,6428,198090,204518,2.8118985126859144,1.8673114448120811,1.8872371250080742,1.1684298542189262,36.00719816773912,37.17562802195805
Aksaray,Sultanhanı,0,329,329,0,1739,1739,0,5.285714285714286,5.285714285714286,0,46.74731182795699,46.74731182795699
,Güzelyurt,28,315,343,31,733,764,1.1071428571428572,2.326984126984127,2.227405247813411,0.13385146804835923,3.1649395509499136,3.2987910189982728
,Merkez,296,44924,45220,535,62835,63370,1.8074324324324325,1.3986955747484642,1.4013710747456878,0.34176568289255144,40.139900344959756,40.481666027852306
,Ortaköy,2,295,297,4,589,593,2,1.9966101694915255,1.9966329966329965,0.26666666666666666,39.266666666666666,39.53333333333333
,Toplam,326,45863,46189,570,65896,66466,1.7484662576687116,1.4368009070492553,1.439000627855117,0.3082414016872161,35.63486913259788,35.9431105342851
Bayburt,Merkez,106,8118,8224,140,12315,12455,1.320754716981132,1.5169992609017,1.5144698443579767,0.2902155887230514,25.52860696517413,25.81882255389718
,Toplam,106,8118,8224,140,12315,12455,1.320754716981132,1.5169992609017,1.5144698443579767,0.2902155887230514,25.52860696517413,25.81882255389718
Karaman,Ermenek,61,2934,2995,84,3324,3408,1.3770491803278688,1.1329243353783232,1.1378964941569283,0.9722222222222222,38.47222222222222,39.44444444444444
,Merkez,113,6847,6960,234,12348,12582,2.0707964601769913,1.803417555133635,1.8077586206896552,0.6543624161073825,34.53020134228188,35.18456375838926
,Ayrancı,0,25,25,0,90,90,0,3.6,3.6,0,7.5,7.5
,Toplam,174,9806,9980,318,15762,16080,1.8275862068965518,1.607383234754232,1.6112224448897796,0.6973684210526315,34.56578947368421,35.26315789473684
Kırıkkale,Merkez,79,53394,53473,99,69568,69667,1.2531645569620253,1.302917930853654,1.3028444261589962,0.0723525542644157,50.842651465321936,50.91500401958635
,Yahşihan,0,1599,1599,0,1712,1712,0,1.070669168230144,1.070669168230144,0,23.77777777777778,23.77777777777778
,Balışeyh,43,852,895,71,1315,1386,1.6511627906976745,1.5434272300469483,1.5486033519553073,0.6685499058380414,12.382297551789078,13.05084745762712
,Toplam,122,55845,55967,170,72595,72765,1.3934426229508197,1.299937326528785,1.300141154608966,0.10992563853863563,46.94148076301325,47.051406401551894
Batman,Beşiri,1,299,300,2,2251,2253,2,7.528428093645485,7.51,0.030864197530864196,34.73765432098765,34.76851851851852
,Kozluk,126,16336,16462,413,47365,47778,3.2777777777777777,2.89942458374143,2.9023204956870368,0.2853786622443339,32.72871752349364,33.014096185737976
,Merkez,470,31240,31710,925,45982,46907,1.9680851063829787,1.4718950064020486,1.4792494481236202,0.879695672848312,43.72990965287684,44.609605325725155
,Gercüş,0,1732,1732,0,7520,7520,0,4.341801385681293,4.341801385681293,0,37.301587301587304,37.301587301587304
,Hasankeyf,84,3980,4064,173,7556,7729,2.0595238095238093,1.8984924623115578,1.9018208661417322,0.7355442176870748,32.125850340136054,32.86139455782313
,Sason,36,1518,1554,81,5263,5344,2.25,3.4670619235836626,3.438867438867439,0.4326923076923077,28.11431623931624,28.54700854700855
,Toplam,717,55105,55822,1594,115937,117531,2.2231520223152024,2.103928863079575,2.1054602128193185,0.500078431372549,36.372392156862745,36.872470588235295
Şırnak,Cizre,127,1208,1335,275,2568,2843,2.1653543307086616,2.1258278145695364,2.1295880149812736,2.3871527777777777,22.291666666666668,24.678819444444443
,İdil,0,2400,2400,0,18821,18821,0,7.842083333333333,7.842083333333333,0,52.28055555555556,52.28055555555556
,Merkez,4,42445,42449,10,48887,48897,2.5,1.1517728825538933,1.151899926971189,0.00641025641025641,31.337820512820514,31.34423076923077
,Silopi,121,752,873,137,806,943,1.1322314049586777,1.071808510638298,1.0801832760595647,1.5222222222222221,8.955555555555556,10.477777777777778
,Toplam,252,46805,47057,422,71082,71504,1.6746031746031746,1.518683901292597,1.5195188813566525,0.19856954639563335,33.4472049689441,33.64577451533973
Bartın,Amasra,638,47373,48011,1706,95423,97129,2.6739811912225706,2.0142908407742808,2.0230572160546543,0.38661137172252813,21.62462891200399,22.011240283726515
,Merkez,656,34969,35625,1759,61197,62956,2.6814024390243905,1.7500357459464098,1.7671859649122807,1.1714951714951716,40.75724275724276,41.92873792873793
,Kurucaşile,4,861,865,4,5424,5428,1,6.299651567944251,6.27514450867052,0.010193679918450561,13.82262996941896,13.83282364933741
,Ulus,62,2784,2846,140,6463,6603,2.2580645161290325,2.3214798850574714,2.320098383696416,0.41188584877905265,19.014416004707268,19.42630185348632
,Toplam,1360,85987,87347,3609,168507,172116,2.6536764705882354,1.9596799516205938,1.970485534706401,0.5429925524712255,25.352742044685172,25.895734597156398
Ardahan,Göle,0,6142,6142,0,19491,19491,0,3.173396287854119,3.173396287854119,0,39.23309178743961,39.23309178743961
,Merkez,160,16379,16539,592,36574,37166,3.7,2.232981256486965,2.247173347844489,0.45934202358783366,28.378336436995657,28.83767846058349
,Posof,21,95,116,173,131,304,8.238095238095237,1.3789473684210527,2.6206896551724137,4.505208333333333,3.4114583333333335,7.916666666666667
,Toplam,181,22616,22797,765,56196,56961,4.226519337016574,2.484789529536611,2.4986182392420053,0.4194078947368421,30.80921052631579,31.22861842105263
Iğdır,Merkez,18599,44711,63310,24577,60164,84741,1.3214151298456907,1.3456196461720829,1.3385089243405466,11.318504190844616,27.70746983512941,39.02597402597402
,Toplam,18599,44711,63310,24577,60164,84741,1.3214151298456907,1.3456196461720829,1.3385089243405466,11.318504190844616,27.70746983512941,39.02597402597402
Yalova,Altınova,15499,12814,28313,37707,26509,64216,2.4328666365571974,2.0687529264866553,2.2680747359870024,25.904781533388295,18.21173399285518,44.116515526243475
,Armutlu,338,10197,10535,969,27189,28158,2.866863905325444,2.6663724624889675,2.6728049359278594,0.5913584767484438,16.592823141706333,17.18418161845478
,Çınarcık,1726,24241,25967,4385,55046,59431,2.540556199304751,2.2707809083783674,2.288712596757423,1.4486290056161215,18.185001651800462,19.633630657416585
,Çiftlikköy,349,1498,1847,682,2656,3338,1.9541547277936964,1.7730307076101468,1.8072550081212777,3.2109227871939736,12.504708097928438,15.71563088512241
,Merkez,13493,41591,55084,30976,104542,135518,2.2957088860890833,2.513572647928638,2.460206230484351,10.835694546472173,36.56976947563578,47.40546402210795
,Termal,5241,19024,24265,12046,42220,54266,2.2984163327609233,2.219301934398654,2.2363898619410674,5.3466489125610295,18.739458499778074,24.086107412339103
,Toplam,36646,109365,146011,86765,258162,344927,2.367652676963379,2.360554107804142,2.3623357144324744,7.580841043921959,22.556158423108176,30.136999467030133
Karabük,Eskipazar,0,133,133,0,356,356,0,2.6766917293233083,2.6766917293233083,0,7.416666666666667,7.416666666666667
,Merkez,1374,39667,41041,2120,59245,61365,1.5429403202328966,1.4935588776564903,1.4952121049682026,1.2264260094874464,34.273400439662154,35.4998264491496
,Safranbolu,2666,46108,48774,3569,61097,64666,1.3387096774193548,1.3250845840201266,1.325829335301595,0.7181375508068735,12.29365366815566,13.011791218962534
,Yenice,1,2052,2053,1,2959,2960,1,1.442007797270955,1.44179249878227,0.0031746031746031746,9.393650793650794,9.396825396825397
,Eflani,1,2513,2514,1,10794,10795,1,4.295264623955432,4.2939538583929995,0.004528985507246377,48.88586956521739,48.89039855072464
,Toplam,4042,90473,94515,5691,134451,140142,1.4079663532904503,1.486089772639351,1.482748770036502,0.7814946032792288,18.4629644887534,19.244459092032628
Kilis,Merkez,941,20210,21151,1682,43157,44839,1.7874601487778958,2.1354280059376545,2.1199470474209257,1.7315215153386865,44.427630224418365,46.15915173975705
,Toplam,941,20210,21151,1682,43157,44839,1.7874601487778958,2.1354280059376545,2.1199470474209257,1.7315215153386865,44.427630224418365,46.15915173975705
Osmaniye,Bahçe,0,170,170,0,227,227,0,1.3352941176470587,1.3352941176470587,0,21.01851851851852,21.01851851851852
,Kadirli,113,20452,20565,222,29060,29282,1.9646017699115044,1.4208879327205164,1.42387551665451,0.42093287827076226,55.10049298445203,55.52142586272279
,Merkez,308,34201,34509,1037,41160,42197,3.366883116883117,1.2034735826437823,1.2227824625460024,1.0825764693600584,42.96899467585343,44.05157114521349
,Toprakkale,1,94,95,1,164,165,1,1.7446808510638299,1.736842105263158,0.11904761904761904,19.523809523809526,19.642857142857142
,Düziçi,0,6666,6666,0,6721,6721,0,1.0082508250825082,1.0082508250825082,0,33.04326450344149,33.04326450344149
,Toplam,422,61583,62005,1260,77332,78592,2.985781990521327,1.2557361609535098,1.267510684622208,0.7377481117161426,45.27899759939106,46.016745711107205
Düzce,Akçakoca,317,38770,39087,842,92253,93095,2.6561514195583595,2.3794944544751098,2.3817381738173817,0.2320901899170319,25.428760439923924,25.660850629840954
,Kaynaşlı,0,12625,12625,0,28574,28574,0,2.263287128712871,2.263287128712871,0,40.35875706214689,40.35875706214689
,Merkez,6449,78999,85448,13486,147063,160549,2.0911769266552955,1.8615805263357763,1.8789088100365134,3.3799498746867167,36.857894736842105,40.23784461152882
,Cumayeri,33,2780,2813,157,11097,11254,4.757575757575758,3.991726618705036,4.0007109847138285,0.5840773809523809,41.283482142857146,41.867559523809526
,Toplam,6799,133174,139973,14485,278987,293472,2.1304603618179145,2.094905912565516,2.0966329220635407,1.6853409659441283,32.46035347365237,34.1456944395965
GENEL TOPLAM,,9014241,15574276,24588517,25244665,31375389,56620054,2.8005314035868354,2.014564850398182,2.3027030869734846,20.323465795463118,25.25906543663185,45.582531232094965
